"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","age_grp"
"953","Age 61","Gender Male","Country South Africa","state NA","self_employed Yes","family_history No","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 61-65"
"954","Age 36","Gender Female","Country United States","state WA","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"955","Age 38","Gender Male","Country United States","state TN","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"956","Age 33","Gender Male","Country Germany","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Yes","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Yes","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"957","Age 30","Gender Male","Country United States","state WA","self_employed No","family_history Yes","treatment No","work_interfere Never","no_employees More than 1000","remote_work No","tech_company No","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"958","Age 34","Gender Male","Country Netherlands","state NA","self_employed Yes","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 1-5","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"959","Age 26","Gender Male","Country United States","state CA","self_employed No","family_history No","treatment Yes","work_interfere Rarely","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"960","Age 33","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees More than 1000","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"961","Age 32","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers No","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"962","Age 25","Gender Male","Country Germany","state NA","self_employed Yes","family_history No","treatment No","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Yes","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 22-25"
"963","Age 35","Gender Male","Country Germany","state NA","self_employed Yes","family_history No","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company No","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Yes","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"964","Age 24","Gender Male","Country United Kingdom","state NA","self_employed Yes","family_history Yes","treatment No","work_interfere Often","no_employees 1-5","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"965","Age 55","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment Yes","work_interfere Often","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Somewhat easy","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 41-55"
"966","Age 33","Gender Male","Country United Kingdom","state NA","self_employed Yes","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity No","leave Very difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 31-35"
"967","Age 26","Gender Female","Country United Kingdom","state NA","self_employed Yes","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"968","Age 25","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"969","Age 45","Gender Male","Country United Kingdom","state NA","self_employed No","family_history Yes","treatment No","work_interfere Rarely","no_employees 100-500","remote_work No","tech_company No","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"970","Age 33","Gender Female","Country United Kingdom","state NA","self_employed Yes","family_history No","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"971","Age 43","Gender Male","Country United States","state MI","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees More than 1000","remote_work Yes","tech_company Yes","benefits No","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Very difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 41-55"
"972","Age 30","Gender Male","Country United Kingdom","state NA","self_employed Yes","family_history No","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity No","leave Very difficult","mental_health_consequence Yes","phys_health_consequence Yes","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence Yes","age_grp 26-30"
"973","Age 40","Gender Male","Country United States","state IN","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"974","Age 49","Gender Male","Country United States","state GA","self_employed No","family_history Yes","treatment No","work_interfere Never","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 41-55"
"975","Age 29","Gender Male","Country Germany","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"976","Age 26","Gender Male","Country Germany","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 500-1000","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"977","Age 38","Gender Male","Country United States","state WA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 36-40"
"978","Age 27","Gender Male","Country France","state NA","self_employed No","family_history Yes","treatment No","work_interfere NA","no_employees 500-1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Don't know","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence Yes","age_grp 26-30"
"979","Age 26","Gender Male","Country Belgium","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help No","anonymity No","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"980","Age 28","Gender Male","Country United Kingdom","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"981","Age 40","Gender Male","Country United States","state ME","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"982","Age 37","Gender Female","Country Canada","state NA","self_employed Yes","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence Yes","age_grp 36-40"
"983","Age 34","Gender Female","Country United Kingdom","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees 26-100","remote_work Yes","tech_company No","benefits Yes","care_options Yes","wellness_program No","seek_help Yes","anonymity No","leave Somewhat easy","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"984","Age 28","Gender Male","Country United States","state NY","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees 100-500","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"985","Age 27","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Yes","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"986","Age 29","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"987","Age 39","Gender Female","Country United Kingdom","state NA","self_employed No","family_history Yes","treatment No","work_interfere Rarely","no_employees 500-1000","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Yes","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 36-40"
"988","Age 28","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Often","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity No","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"989","Age 23","Gender Male","Country United States","state PA","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Yes","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"991","Age 38","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"992","Age 19","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help Yes","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp <=21"
"993","Age 30","Gender Female","Country United States","state IL","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Yes","seek_help Don't know","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"994","Age 28","Gender Male","Country United Kingdom","state NA","self_employed Yes","family_history No","treatment No","work_interfere NA","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"995","Age 20","Gender Male","Country India","state NA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp <=21"
"996","Age 35","Gender Male","Country United Kingdom","state NA","self_employed Yes","family_history No","treatment No","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"997","Age 39","Gender Male","Country United States","state MN","self_employed No","family_history No","treatment Yes","work_interfere Rarely","no_employees 100-500","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"998","Age 31","Gender Female","Country United States","state TX","self_employed No","family_history Yes","treatment No","work_interfere Never","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Yes","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"999","Age 32","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Rarely","no_employees 500-1000","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"1000","Age 27","Gender Male","Country Sweden","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"1001","Age 25","Gender Male","Country United States","state PA","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Don't know","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"1002","Age 42","Gender Male","Country United States","state IN","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"1003","Age 34","Gender Male","Country United States","state PA","self_employed No","family_history Yes","treatment Yes","work_interfere Often","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"1004","Age 26","Gender Female","Country United States","state OH","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence Yes","age_grp 26-30"
"1005","Age 35","Gender Male","Country United Kingdom","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence Yes","age_grp 31-35"
"1006","Age 34","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 500-1000","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"1007","Age 38","Gender Male","Country United States","state PA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work Yes","tech_company No","benefits Yes","care_options Yes","wellness_program No","seek_help Yes","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Yes","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"1008","Age 34","Gender Male","Country United States","state SD","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"1009","Age 39","Gender Male","Country United States","state IN","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 36-40"
"1010","Age 44","Gender Female","Country United States","state CA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 100-500","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 41-55"
"1011","Age 40","Gender Male","Country United States","state TN","self_employed No","family_history No","treatment No","work_interfere NA","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"1012","Age 33","Gender Female","Country United States","state TX","self_employed Yes","family_history No","treatment No","work_interfere Never","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program Don't know","seek_help Don't know","anonymity Yes","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"1013","Age 24","Gender Female","Country United States","state TN","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program No","seek_help Don't know","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 22-25"
"1014","Age 38","Gender Female","Country United States","state OR","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"1015","Age 31","Gender Male","Country United States","state SD","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Yes","seek_help Yes","anonymity Yes","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"1016","Age 23","Gender Male","Country Israel","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 100-500","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"1017","Age 26","Gender Female","Country United States","state NY","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"1018","Age 46","Gender Female","Country United States","state CT","self_employed No","family_history No","treatment Yes","work_interfere Often","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 41-55"
"1019","Age 30","Gender Male","Country United States","state CA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
